TelepulesID;TeruletNeve;TipusID;TeruletHa;FolyoM;UtolsoM;UtolsoSz;SzamlalDb
202;Simai úti lőtér;13;184,76;;2010.9.17 12:05:00;;0
202;Oláh-rét;13;98,10;;2013.12.15 12:01:00;2013.4.16;1
202;M3 tűzivíztározó és nádas;19;2,15;;2013.12.16 16:07:00;2013.4.27;2
202;Alsópázsiti-rét;13;89,39;;2013.4.19 11:17:00;2013.4.19;9
202;Igrice-mocsár;11;54,57;;2010.10.7 12:35:00;2004.4.28;2
202;Rozsréti-kaszáló;13;101,48;;2012.5.3 16:01:00;;0
202;Manadbokori itató;13;0,71;;2012.5.2 12:43:00;;0
202;Nyírjes-szik;16;48,84;;2013.12.16 14:57:00;2010.9.6;1
202;Sóstói-tó;17;10,21;;2014.3.9 22:38:00;2014.3.9;10
202;Sóstó Zoo kis tava;17;0,11;;2013.11.30 17:59:00;2013.11.30;4
202;Sóstó Zoo bivaly dagonya;2;0,13;;2013.11.30 18:05:00;2013.11.30;1
202;Oláhréti-tó;19;57,74;;2013.12.16 15:47:00;2013.6.5;4
202;Lóczibokori mocsár;11;26,78;;2012.5.3 16:26:00;;0
202;Hosszúháti-tó;18;117,12;;2010.9.6 16:35:00;;0
202;Nyíregyházi regionális hulladéklerakó;8;22,72;;2011.12.7 19:53:00;2011.12.6;1
202;Bujtosi tavak;7;15,50;;2014.3.22 13:21:00;2014.3.22;15
202;Szelkó-tó;5;263,89;;2013.12.15 10:54:00;2013.11.15;71
202;Lóczibokori kis mocsár;11;6,98;;2012.5.3 16:31:00;;0
202;Kenderáztató (Sóstói-erdő);11;2,87;;2014.1.11 11:57:00;2014.1.11;5
202;Sirály utcai mocsár;11;25,73;;2013.7.1 19:42:00;2013.6.1;2
202;Mandabokori mocsár I.;11;9,08;;2013.6.4 13:36:00;2013.6.5;4
202;Kordovánbokori mocsár;11;12,65;;2012.5.5 17:16:00;2012.5.5;1
202;Rozsréti mocsár I.;11;9,84;;2012.5.3 16:48:00;;0
202;Rozsréti mocsár III.;11;17,72;;2012.5.3 16:45:00;;0
202;Rozsréti mocsár II.;11;8,47;;2012.5.3 16:43:00;;0
202;Mandabokori mocsár II.;11;7,71;;2012.5.3 16:42:00;;0
202;Illés utcai mocsár;11;22,25;;2013.1.3 21:00:00;;0
203;Nyírteleki Sós-tó;11;41,49;;2013.1.18 20:29:00;2013.1.12;1
204;Belvíz (Nyúl);2;2,72;;2014.3.15 18:55:00;2014.3.14;16
204;Szent-Lőrinc dűlői tó;17;1,73;;2013.12.31 17:40:00;2013.12.31;8
204;Pándzsa patak menti rétek;13;109,86;;2014.3.1 19:45:00;;0
204;Nyúli mocsár;11;27,69;;2013.12.31 17:39:00;2013.12.31;5
204;Pándzsa patak;12;31,91;;2013.12.29 16:21:00;2013.12.29;1
205;vízállás Ófehértó és Máriapócs között;2;1,33;;2012.6.6 20:06:00;2012.6.2;4
205;Pazarnyi;17;43,74;;2011.6.28 13:09:00;;0
206;Rontó-szél;13;336,46;;2011.12.21 10:51:00;;0
207;Ordacsehi berek;11;171,88;;2011.11.30 23:17:00;2008.10.18;7
208;Orfűi-tó;17;10,80;;2013.6.28 14:18:00;;0
208;Pécsi-tó;17;77,99;;2013.7.1 13:50:00;1993.8.20;3
209;Orosházi halastó;5;61,06;;2014.3.15 13:30:00;2014.3.14;3
210;Ostorosi-víztározó;19;25,40;;2013.4.23 12:25:00;;0
211;Szentsimoni-záportározó;19;3,50;;2013.10.15 12:26:00;;0
212;Vilmos-rét;13;122,20;;2010.11.2 14:50:00;;0
212;Körpölye;13;38,07;;2010.11.2 14:29:00;;0
212;Zsidó-rét;13;114,65;;2010.11.15 13:35:00;;0
212;Zálogos;13;109,17;;2014.1.2 20:34:00;2006.4.13;1
213;Pálmajori-tó;7;5,44;;2014.3.21 19:37:00;2014.3.21;47
213;Öttevényi Kavicsbánya;9;21,08;;2014.3.21 19:36:00;2014.3.16;67
213;Öttevényi Bányatavak;1;10,40;;2014.3.9 21:42:00;2014.3.9;27
214;Dinnyési-halastavak;5;142,71;;2013.4.22 16:02:00;1993.11.14;81
215;Palkonyai-halastavak;5;100,30;;2013.3.1 21:30:00;2012.6.9;183
216;Péteri-tó;15;730,03;;2014.3.15 20:28:00;2014.3.15;64
217;Pataki-tó;17;15,98;;2011.6.27 14:12:00;2007.8.28;2
217;Pataki-rét;13;243,82;;2013.12.31 16:13:00;2005.3.29;1
218;Pátkai-víztározó;19;328,00;;2013.4.4 11:43:00;2012.11.2;49
219;Patvarci Kavicsbánya-tó;9;4,81;;2010.11.2 15:08:00;;0
219;Szelestényi-rét;13;167,62;;2010.11.15 13:41:00;;0
220;Szilágypusztai-halastavak;5;68,30;;2013.7.2 15:09:00;1989.11.11;15
220;Dombay-tó;17;1,35;;2013.7.4 14:58:00;;0
221;Pellérdi-halastó;5;170,25;;2013.11.21 13:51:00;2012.4.14;267
221;VDM ülepítő tavak;18;232,81;;2013.7.4 15:41:00;;0
222;Péri-halastó;5;18,00;;2013.5.4 20:05:00;2013.5.4;1
222;Péri horgásztavak;7;86,11;;2013.5.4 20:02:00;2013.5.4;1
223;Duna, Pilismaróti-öböl (1708 fkm);4;152,10;;2013.12.10 10:46:00;2008.1.12;23
224;Pitvarosi víztározó;19;73,69;;2013.6.27 23:14:00;2013.6.27;44
225;Polgári-halastavak;5;327,93;;2011.12.3 15:20:00;2002.6.16;4
226;Pölöskei tőzegtó;1;196,40;;2013.1.5 19:09:00;;0
227;Pötrétei tőzegtavak;1;767,73;;2013.1.5 18:14:00;;0
228;Prügyi sertéstrágya szikkasztó;18;10,90;;2011.8.28 21:49:00;2008.11.22;11
229;Fülöp-szék;15;32,26;;2013.7.4 13:24:00;;0
229;Hatvani-csatak;15;59,44;;2011.12.21 10:46:00;;0
229;Büdösszék-tó;15;144,18;;2014.3.22 13:40:00;2014.3.20;94
229;Szeri-puszták;14;3262,09;;2012.2.20 18:40:00;2012.2.15;53
229;Vesszős-szék;15;50,01;;2014.1.6 10:24:00;2014.1.5;2
230;Nagy-morotva;6;94,79;;2013.1.18 20:33:00;2013.1.12;1
230;Sulymos-tó;6;20,08;;2012.12.12 17:22:00;;0
230;Aranyosárok;6;24,83;;2012.12.12 17:17:00;;0
231;Ravazd tavak;5;61,27;;2014.3.22 19:37:00;2014.3.22;15
232;Pacsmagi-halastavak;5;454,84;;2011.11.18 20:20:00;2002.6.15;7
233;Göröndi-halastavak;5;306,47;;2011.11.18 19:13:00;2008.12.13;8
234;Rohodi-víztároló;19;44,17;;2012.3.1 20:39:00;2012.2.27;3
235;Romándi-halastó;5;44,01;;2013.12.31 17:56:00;2013.12.31;1
236;Fertő;5;668,80;;2014.3.16 8:05:00;2014.3.15;228
237;Nagyhörcsöki halastavak;5;424,70;;2013.3.20 11:53:00;2013.3.19;3
237;Nagyhörcsöki legelő;13;877,59;;2013.1.15 8:24:00;2013.1.13;5
237;Rétszilasi-halastavak;5;1082,80;;2014.2.19 10:04:00;2014.2.15;291
238;Sárkány-tó;15;41,34;;2013.7.1 10:45:00;1993.10.26;39
239;Bodrog, Sárospatak - Tokaj;4;285,46;3700;2010.9.24 16:07:00;2008.11.21;4
240;Sós-tó;15;69,52;;2013.2.1 22:05:00;1992.9.1;16
241;Alsó Tarján árok;13;79,32;;2011.5.31 16:31:00;2011.5.28;4
241;Sárszentmihály mésziszap bányák;1;97,19;;2013.2.18 20:19:00;2012.1.25;7
241;Gusztusi híd;13;184,55;;2011.5.16 6:15:00;2011.3.31;9
241;Pálmajori-tavak;19;162,45;;2013.4.4 10:34:00;2012.10.12;25
241;Szerencsekeréki erdő gyepje;13;104,15;;2013.4.4 10:28:00;2013.3.11;40
241;Sárpentele;2;105,28;;2013.5.17 9:29:00;2013.5.13;2
241;Mély völgy;13;139,35;;2014.2.11 12:14:00;2014.2.4;19
241;Bagó domb;13;155,82;;2013.3.20 11:23:00;2013.3.11;10
242;Balaton;17;58919,37;;2010.9.9 16:25:00;;0
243;Vadkerti-tó;17;71,71;;2014.1.9 8:37:00;2013.12.21;3
244;Soponyai-halastavak;5;450,48;;2014.2.19 9:52:00;2014.2.14;153
245;Harkai tó;7;3,34;;2014.1.22 19:09:00;2014.1.22;2
245;Soproni szeméttelep;8;10,86;;2014.1.19 19:19:00;2014.1.19;2
246;Sumonyi-halastó;5;285,27;;2013.12.9 10:35:00;2007.1.15;330
247;Szeszgyári ülepítő tavak;18;36,84;;2013.7.1 10:07:00;1993.8.29;9
248;Zab-szék;15;218,94;;2014.3.16 12:43:00;2014.3.14;91
248;Büdös-szék;15;132,52;;2014.3.16 12:37:00;2014.3.14;3
