szerzo	cim	ev	kiadokod	oldal	tema
Rókáné Kalydi Bea	300 kérdés és válasz a fizika körébõl	2000	41	159	fizika
Rókáné Kalydi Bea	150 kérdés és válasz a fizika körébõl	1999	41	125	fizika
Sas Elemér, dr.	Mindenki fizikája	2004	40	175	fizika
Szalay Béla, dr.	Fizika	1982	34	922	fizika
Holics László	Fizika I-II.	1986	34	1507	fizika
Lennon - McCartney	Yesterday	1990	42	462	zene
Larkin, Colin	Jazz-zenészek lexikona	1993	27	479	zene
Menuhin, Yehudi - Davis, Curtis	Az ember zenéje	1981	38	319	zene
Németh Amadé	Hangszerek és zenekarok kézikönyve	2000	43	271	zene
Balassa Imre - Gál György Sándor	Operák könyve	1957	28	518	zene
Gál György Sándor	Operák könyve	1961	28	423	zene
