ertek	tipus	datum	helyaz
34	max	1927.06.01	44
-16	min	1975.11.27	71
15	max	1993.01.25	69
-0,8	min	1977.05.28	71
3	min	1976.08.23	71
5,2	min	1965.08.02	59
-22	min	1925.12.09	97
-0,2	min	1918.06.05	133
-10,1	min	2002.04.08	61
39,4	max	2007.08.23	76
3,1	min	2000.06.27	61
18,1	max	1930.11.30	68
38,6	max	1992.08.26	120
4,2	min	1919.07.15	63
30,6	max	1995.04.23	69
23,1	max	2000.11.17	107
-8,1	min	2011.10.17	15
-13,4	min	1962.03.18	59
-2	min	2012.05.18	34
38,9	max	1921.07.28	44
37,5	max	1994.06.27	66
35,6	max	1946.09.08	92
27,5	max	1906.04.13	39
5,5	min	1965.08.03	52
34	max	1923.06.01	39
-30,3	min	1987.01.13	118
-16	min	1902.11.28	8
-7,6	min	1955.04.20	25
29,3	max	1953.10.17	72
29,1	max	1993.10.13	37
-3	min	1902.09.24	43
17,5	max	2008.01.20	117
-22	min	1909.02.24	81
37	max	1908.06.20	43
18	max	1939.12.01	22
4,7	min	1993.07.09	20
-13,4	min	1962.03.18	29
36	max	1927.06.04	44
-27,8	min	1987.01.31	5
32,7	max	2003.09.22	87
4,6	min	2005.08.09	61
18,8	max	2006.12.08	87
-27,5	min	1985.01.09	7
-22,8	min	1975.11.26	70
-5	min	1919.10.10	63
18,1	max	1957.12.13	25
-26,5	min	1985.01.08	122
24,5	max	1903.03.28	80
22,6	max	1951.11.12	72
35,1	max	1998.06.06	93
-1,2	min	1957.05.10	22
3,9	min	2002.07.01	61
39,1	max	2012.08.22	86
25,8	max	1949.10.26	30
34,4	max	2003.05.07	78
33,8	max	2003.05.11	102
30	max	1985.10.04	93
40	max	2013.07.29	86
4,7	min	1986.07.25	121
-22	min	1927.12.20	97
-26	min	1938.01.06	136
23,5	max	1963.11.07	37
-15,3	min	1983.11.15	79
5,1	min	2011.08.11	101
-26,2	min	1929.02.08	97
34,5	max	1996.05.19	126
-2,6	min	1952.05.21	72
40	max	1905.08.05	39
-18	min	1925.11.30	97
-0,8	min	2004.09.11	132
28,9	max	1993.10.14	37
18,9	max	1998.02.14	117
-30	min	1942.01.23	48
-17,4	min	1958.03.10	43
-27	min	1964.01.17	96
-10,4	min	2003.04.09	61
-18	min	1932.03.14	30
-8,6	min	2005.04.02	61
-19,8	min	1976.03.12	80
24,5	max	2012.03.17	86
37	max	2013.06.20	11
-27	min	1964.01.17	31
-22,8	min	1973.12.03	142
-27,5	min	1938.01.04	136
-28,2	min	1942.01.25	133
-28,2	min	1947.02.01	76
19,8	max	1934.03.01	92
-1	min	1991.09.08	9
26	max	1989.03.29	128
17,7	max	1958.12.24	25
35,8	max	1996.06.09	128
-11,5	min	1908.11.13	81
-15,7	min	1993.11.20	71
16,5	max	1987.12.28	83
38	max	1992.08.27	13
26	max	1989.03.29	113
22	max	2001.03.13	25
36,2	max	1917.06.07	68
-12,3	min	1988.11.05	71
-23,9	min	2006.01.26	31
-16	min	1993.11.27	90
28,8	max	2009.10.07	87
-16,4	min	1953.03.15	22
-4,3	min	2013.10.03	62
-0,6	min	1980.05.23	59
32,6	max	1999.09.26	37
-27,6	min	1917.02.09	8
-7,2	min	1995.04.11	52
16,5	max	1920.12.31	81
27,4	max	1999.10.25	99
-5,5	min	1977.09.29	71
-25,4	min	1954.01.27	136
39,1	max	1992.08.22	14
38,9	max	1922.07.12	44
32	max	1932.10.01	92
-24	min	1938.01.05	48
25	max	1975.03.09	107
34,8	max	2002.06.16	102
35	max	1896.05.27	68
35	max	1987.06.15	66
21,8	max	2009.12.25	99
39	max	1928.07.16	97
20	max	2002.01.29	87
-16	min	1902.11.28	115
3,2	min	1973.08.27	71
-26,5	min	1942.01.21	136
-19,2	min	1921.12.01	22
27,8	max	1975.03.31	141
4,5	min	1918.07.28	63
-26	min	1947.01.29	133
-2,2	min	1938.05.05	79
4,8	min	1990.08.10	116
34,5	max	2003.05.08	93
-27	min	1927.12.22	35
32	max	1926.04.24	76
-26,1	min	2001.12.25	39
18,9	max	2002.01.28	117
-2,8	min	1909.05.08	63
-21,4	min	1987.03.05	27
17,6	max	2005.01.08	87
16,4	max	1998.02.10	117
34,8	max	1968.05.12	30
29	max	1899.04.20	44
33,6	max	1926.04.25	133
39	max	1948.08.10	76
32,6	max	1999.09.26	25
23,1	max	2013.11.09	99
32,4	max	1935.10.06	55
39,8	max	1946.08.11	68
22,2	max	1998.02.16	84
18,3	max	2009.12.26	99
-0,1	min	1973.09.15	71
30	max	1917.10.11	143
16,4	max	1965.01.31	28
24	max	1920.03.08	2
5,8	min	1984.07.29	122
34,4	max	1961.09.19	76
28,7	max	1939.04.14	76
21	max	1990.02.24	22
