szalloda_az	indulas	idotartam	ar
FJ	2011.03.31	8	109900
FJ	2011.03.31	11	133900
FJ	2011.03.31	15	167900
FJ	2011.04.03	8	109900
FJ	2011.04.03	12	143900
FJ	2011.04.03	15	172900
FJ	2011.04.07	8	111900
FJ	2011.04.07	11	140900
FJ	2011.04.07	15	178900
FJ	2011.04.10	8	119900
FJ	2011.04.10	12	154900
FJ	2011.04.10	15	178900
FJ	2011.04.14	8	121900
FJ	2011.04.14	11	145900
FJ	2011.04.14	15	178900
FJ	2011.04.17	8	119900
FJ	2011.04.17	12	148900
FJ	2011.04.17	15	172900
FJ	2011.04.21	8	109900
FJ	2011.04.21	11	133900
FJ	2011.04.21	15	165900
FJ	2011.04.24	8	109900
FJ	2011.04.28	8	109900
HB	2011.01.23	8	84900
HB	2011.01.23	15	116900
HB	2011.01.30	8	84900
HB	2011.01.30	15	116900
HB	2011.02.06	8	84900
HB	2011.02.06	15	116900
HB	2011.02.13	8	84900
HB	2011.02.13	15	116900
HB	2011.02.20	8	84900
HB	2011.02.20	15	116900
HB	2011.02.27	8	84900
HB	2011.02.27	15	116900
HB	2011.03.06	8	84900
HB	2011.03.06	15	116900
HB	2011.03.13	8	84900
HB	2011.03.13	15	116900
HB	2011.03.20	8	84900
HB	2011.03.20	15	116900
HB	2011.03.27	8	84900
HB	2011.03.27	15	116900
HB	2011.04.03	8	84900
HB	2011.04.03	15	126900
HB	2011.04.10	8	90900
HB	2011.04.10	15	126900
HB	2011.04.17	8	84900
HB	2011.04.17	15	116900
HB	2011.04.24	8	84900
JR	2011.01.02	8	38900
JR	2011.01.02	15	53900
JR	2011.01.09	8	37900
JR	2011.01.09	15	53900
JR	2011.01.16	8	37900
JR	2011.01.16	15	53900
JR	2011.01.23	8	37900
JR	2011.01.23	15	53900
JR	2011.01.30	8	37900
JR	2011.01.30	15	53900
JR	2011.02.06	8	37900
JR	2011.02.06	15	53900
JR	2011.02.13	8	37900
JR	2011.02.13	15	53900
JR	2011.02.20	8	37900
JR	2011.02.20	15	53900
JR	2011.02.27	8	37900
JR	2011.02.27	15	53900
JR	2011.03.06	8	70900
JR	2011.03.06	15	90900
JR	2011.03.13	8	70900
JR	2011.03.13	15	90900
JR	2011.03.20	8	70900
JR	2011.03.20	15	90900
JR	2011.03.27	8	70900
JR	2011.03.27	15	90900
JR	2011.04.03	8	70900
JR	2011.04.03	15	97900
JR	2011.04.10	8	76900
JR	2011.04.10	15	97900
JR	2011.04.17	8	70900
JR	2011.04.17	15	90900
JR	2011.04.24	8	70900
MB	2011.01.02	8	70900
MB	2011.01.02	15	89900
MB	2011.01.09	8	37900
MB	2011.01.09	15	53900
MB	2011.01.16	8	37900
MB	2011.01.16	15	53900
MB	2011.01.23	8	37900
MB	2011.01.23	15	53900
MB	2011.01.30	8	37900
MB	2011.01.30	15	53900
MB	2011.02.06	8	37900
MB	2011.02.06	15	53900
MB	2011.02.13	8	37900
MB	2011.02.13	15	53900
MB	2011.02.20	8	37900
MB	2011.02.20	15	53900
MB	2011.02.27	8	37900
MB	2011.02.27	15	53900
MB	2011.03.06	8	69900
MB	2011.03.06	15	88900
MB	2011.03.13	8	69900
MB	2011.03.13	15	88900
MB	2011.03.20	8	69900
MB	2011.03.20	15	88900
MB	2011.03.27	8	69900
MB	2011.03.27	15	88900
MB	2011.04.03	8	69900
MB	2011.04.03	15	95900
MB	2011.04.10	8	75900
MB	2011.04.10	15	95900
MB	2011.04.17	8	69900
MB	2011.04.17	15	88900
MB	2011.04.24	8	69900
MD	2011.01.23	8	70900
MD	2011.01.23	15	90900
MD	2011.01.30	8	70900
MD	2011.01.30	15	90900
MD	2011.02.06	8	70900
MD	2011.02.06	15	90900
MD	2011.02.13	8	70900
MD	2011.02.13	15	90900
MD	2011.02.20	8	70900
MD	2011.02.20	15	90900
MD	2011.02.27	8	70900
MD	2011.02.27	15	90900
MD	2011.03.06	8	70900
MD	2011.03.06	15	90900
MD	2011.03.13	8	70900
MD	2011.03.13	15	90900
MD	2011.03.20	8	70900
MD	2011.03.20	15	90900
MD	2011.03.27	8	70900
MD	2011.03.27	15	90900
MD	2011.04.03	8	70900
MD	2011.04.03	15	97900
MD	2011.04.10	8	76900
MD	2011.04.10	15	97900
MD	2011.04.17	8	70900
MD	2011.04.17	15	90900
MD	2011.04.24	8	70900
MP	2011.01.02	8	83900
MP	2011.01.02	15	115900
MP	2011.01.09	8	83900
MP	2011.01.09	15	115900
MP	2011.01.16	8	83900
MP	2011.01.16	15	115900
MP	2011.01.23	8	83900
MP	2011.01.23	15	115900
MP	2011.01.30	8	83900
MP	2011.01.30	15	115900
MP	2011.02.06	8	83900
MP	2011.02.06	15	115900
MP	2011.02.13	8	83900
MP	2011.02.13	15	115900
MP	2011.02.20	8	83900
MP	2011.02.20	15	122900
MP	2011.02.27	8	90900
MP	2011.02.27	15	139900
MP	2011.03.06	8	99900
MP	2011.03.06	15	148900
MP	2011.03.13	8	99900
MP	2011.03.13	15	148900
MP	2011.03.20	8	99900
MP	2011.03.20	15	148900
MP	2011.03.27	8	99900
MP	2011.03.27	15	157900
MP	2011.04.03	8	109900
MP	2011.04.03	15	184900
MP	2011.04.10	8	121900
MP	2011.04.10	15	188900
MP	2011.04.17	8	112900
MP	2011.04.17	15	174900
MP	2011.04.24	8	112900
TA	2011.01.05	8	69900
TA	2011.01.05	15	119900
TA	2011.01.12	8	97900
TA	2011.01.12	15	147900
TA	2011.01.19	8	100900
TA	2011.01.19	15	155900
TA	2011.01.26	8	100900
TA	2011.01.26	15	155900
TA	2011.02.02	8	107900
TA	2011.02.02	15	164900
TA	2011.02.09	8	107900
TA	2011.02.09	15	164900
TA	2011.02.16	8	107900
TA	2011.02.16	15	164900
TA	2011.02.23	8	107900
TA	2011.02.23	15	164900
TA	2011.03.02	8	107900
TA	2011.03.02	15	171900
TA	2011.03.09	8	125900
TA	2011.03.09	15	194900
TA	2011.03.16	8	125900
TA	2011.03.16	15	200900
TA	2011.03.23	8	129900
TA	2011.03.23	15	209900
TA	2011.03.30	8	134900
TA	2011.03.30	15	230900
TA	2011.04.06	8	149900
TA	2011.04.06	15	253900
TA	2011.04.13	8	157900
TA	2011.04.13	15	230900
TA	2011.04.20	8	125900
TA	2011.04.20	15	200900
TA	2011.04.27	8	125900
