Dátum	Távolság (km)	Mennyiség (liter)	Ár (Ft)	Benzinkút azonosítója	Benzinár (Ft/l)	Fogyasztás (l/100km)
1999.07.06	384,4	26,60	5 024	N3				Megtett távolság
2009.12.20	242,0	16,01	5 440	B1
2009.12.20	684,0	45,36	13 785	G3
2010.04.13	516,0	42,13	14 151	G3
2010.05.09	613,0	42,10	14 604	M11
2010.06.13	632,0	38,52	13 401	O3
2010.06.25	691,0	44,00	15 356	NA
2010.07.09	592,4	42,20	14 314	NA
2010.08.29	646,8	43,32	14 291	NA
2010.09.12	670,6	43,65	14 793	G6
2010.09.26	648,0	42,62	14 955	M11
2010.10.23	643,9	45,17	15 263	M11
2010.12.11	620,0	46,74	16 542	G7
2010.12.26	559,0	39,62	14 025	NA
2011.01.17	551,0	44,39	16 197	G3
2011.02.14	584,0	43,94	16 078	O3
2011.03.13	559,0	42,45	15 447	G8
2011.04.02	675,0	51,32	19 650	O3
2011.04.18	565,3	39,20	15 206	O3
2011.04.28	539,6	37,53	14 746	O10
2011.05.04	663,0	43,05	16 656	O11
2011.05.08	548,0	33,57	12 787	G5
2011.05.21	740,0	47,19	18 211	M2
2011.06.11	733,0	47,06	17 502	NA
2011.06.11	714,5	43,07	15 393	N2
2011.06.18	519,0	29,95	11 594	G9
2011.06.24	714,0	44,01	16 499	G3
2011.07.26	634,0	43,50	16 352	G10
2011.09.04	672,0	46,23	17 193	NA
2011.09.23	655,0	43,13	17 248	O3
2011.10.10	619,0	43,03	16 993	G3
2011.10.29	576,0	40,06	16 421	M8
2011.10.31	622,0	40,32	15 802	G11
2011.11.19	606,0	44,43	17 590	NA
2011.12.05	670,0	44,26	17 921	G3
2011.12.17	569,3	42,18	16 404	NA
2011.12.29	452,8	32,71	12 884	NA
2012.01.03	432,7	22,90	9 181	NA
2012.01.25	665,0	44,87	19 065	S6
2012.01.27	530,0	37,96	16 281	G3
2012.02.02	587,0	41,96	17 787	G3
2012.02.03	234,8	18,00	7 594	L1
2012.02.05	222,1	16,39	7 210	M10
2012.02.08	335,0	24,05	9 948	G9
2012.02.09	510,8	34,71	14 401	D1
2012.02.21	634,0	44,90	18 719	D1
2012.03.25	596,7	43,19	18 783	L2
2012.04.10	558,0	38,18	17 177	G3
2012.05.02	702,0	45,02	20 259	NA
2012.05.13	518,0	33,08	14 287	G12
2012.05.13	628,0	42,72	18 928	N3
2012.05.20	272,0	18,93	8 180	O12
2012.05.21	631,0	44,09	18 557	D1
2012.06.11	671,4	43,48	18 736	G12
2012.06.16	371,5	24,78	10 306	NA
2012.07.01	597,0	38,67	15 851	G12
2012.07.01	528,0	34,17	13 691	P1
2012.07.07	220,0	16,68	6 753	P2
2012.07.08	390,0	22,80	9 231	P3
2012.07.16	523,0	33,38	13 783	D1
