id	datum	ido	varos	stadion	nezoszam	ellenfel	lott	kapott	tetmeccs
139	1929.10.06	15:30:00	Budapest	Hungária út	32000	Ausztria	2	1	
140	1930.04.13		Bázel		20000	Svájc	2	2	
141	1930.05.01		Prága		30000	Csehszlovákia	1	1	
142	1930.05.11	17:00:00	Budapest	Üllői út	40000	Olaszország	0	5	
143	1930.06.01	17:30:00	Budapest	Hungária út	20000	Ausztria	2	1	
144	1930.06.08	17:30:00	Budapest	Üllői út	14000	Hollandia	6	2	
145	1930.09.21		Bécs		40000	Ausztria	3	2	
146	1930.09.28		Drezda		42000	Németország	3	5	
147	1930.10.26	14:00:00	Budapest	Hungária út	12000	Csehszlovákia	1	1	
148	1931.03.22		Prága		30000	Csehszlovákia	3	3	
149	1931.04.12	16:15:00	Budapest	Hungária út	25000	Svájc	6	2	
150	1931.05.03		Bécs		46000	Ausztria	0	0	
151	1931.05.21		Belgrád		14000	Jugoszlávia	2	3	
152	1931.09.20	14:00:00	Budapest	Üllői út	20000	Csehszlovákia	3	0	
153	1931.10.04	15:00:00	Budapest	Hungária út	32000	Ausztria	2	2	
154	1931.11.08	14:00:00	Budapest	Üllői út	13000	Svédország	3	1	
155	1931.12.13	14:30:00	Torino		35000	Olaszország	2	3	
156	1932.02.19		Kairó		6500	Egyiptom	0	0	
157	1932.03.20		Prága		27000	Csehszlovákia	3	1	
158	1932.04.24		Bécs		62000	Ausztria	2	8	
159	1932.05.08	16:30:00	Budapest	Hungária út	40000	Olaszország	1	1	
160	1932.06.19		Bern		20000	Svájc	1	3	
161	1932.09.18	16:00:00	Budapest	Üllői út	25000	Csehszlovákia	2	1	
162	1932.10.02	15:30:00	Budapest	Üllői út	28000	Ausztria	2	3	
163	1932.10.30	14:00:00	Budapest	Hungária út	15000	Németország	2	1	
164	1932.11.27	14:30:00	Milánó		32000	Olaszország	2	4	
165	1933.01.29		Lisszabon		15000	Portugália	0	1	
166	1933.03.05		Amszterdam		30000	Hollandia	2	1	
167	1933.03.19	16:00:00	Budapest	Hungária út	25000	Csehszlovákia	2	0	
