Lakosság:																
Legkevesebb:																
																
község																
nagyközség																
város																
megyei jogú város																
megyeszékhely, megyei jogú város																
fővárosi kerület																
																
																
helység	jogállása	népesség	bolgár  	cigány  	görög  	horvát  	lengyel  	német  	örmény  	román  	ruszin  	szerb  	szlovák  	szlovén  	ukrán  	körjegyzőség kódja
Cák	község	280														6
Cakóháza	község	48														6
Cece	nagyközség	2644														3
Cégénydányád	község	706														4
Cegléd	város	38318														1
Ceglédbercel	község	4440						1								1
Celldömölk	város	11247		1												3
Cered	község	1162		1												4
Chernelházadamonya	község	202														6
Cibakháza	nagyközség	4439		1												3
Cigánd	város	2820		1												1
Cikó	község	885						1								6
Cirák	község	588														4
Cún	község	243		1												6
Csabacsűd	nagyközség	1879											1			1
Csabaszabadi	község	344											1			4
Csabdi	község	1205														1
Csabrendek	község	3032														4
Csáfordjánosfa	község	214														6
Csaholc	község	486		1												6
Csajág	község	826														6
Csákány	község	279														6
Csákánydoroszló	község	1772														1
Csákberény	község	1218														6
Csákvár	nagyközség	5218														3
Csanádalberti	község	440														6
Csanádapáca	község	2729														1
Csanádpalota	nagyközség	3064														3
Csánig	község	390														6
Csány	község	2308		1												1
Csányoszró	község	717														4
Csanytelek	község	2848														1
Csapi	község	181														6
Csapod	község	519														6
Csárdaszállás	község	468														1
Csarnóta	község	134														6
Csaroda	község	595														4
Császár	község	1777														1
Császártöltés	község	2457						1								1
Császló	község	373		1												6
Csátalja	község	1557						1								1
Csatár	község	561														6
Csataszög	község	315														6
Csatka	község	265														6
Csávoly	község	1927				1		1								1
Csebény	község	105														6
Csécse	község	901		1												4
Csegöld	község	602		1												4
Csehbánya	község	280						1								6
Csehi	község	270														4
Csehimindszent	község	361														4
Csém	község	477														6
Csemő	község	4298														1
Csempeszkopács	község	313														6
Csengele	község	1958														1
Csenger	város	4824		1												3
Csengersima	község	634														4
Csengerújfalu	község	820														6
Csengőd	község	2176		1												1
Csénye	község	723														6
Csenyéte	község	454		1												6
Csép	község	366														6
Csépa	község	1667		1												1
Csepreg	város	3452		1		1										3
Csér	község	23														6
Cserdi	község	385		1												6
Cserénfa	község	210														6
Cserépfalu	község	1049														4
Cserépváralja	község	470														6
Cserháthaláp	község	371														6
Cserhátsurány	község	857														4
Cserhátszentiván	község	148														6
Cserkeszőlő	község	2119														1
Cserkút	község	552														4
Csernely	község	819		1												4
Cserszegtomaj	község	2581														1
Csertalakos	község	31														6
Csertő	község	406														6
Csesznek	község	541														6
Csesztreg	község	803														5
Csesztve	község	327														6
Csetény	község	1909														4
Csévharaszt	község	1953														1
Csibrák	község	355		1				1								6
Csikéria	község	952				1		1								4
Csikóstőttős	község	882						1								6
Csikvánd	község	488														6
Csincse	község	560														1
Csipkerek	község	358														6
Csitár	község	398		1												6
Csobád	község	697		1												4
Csobaj	község	767														6
Csobánka	község	3169		1				1				1				1
Csókakő	község	1284														4
Csokonyavisonta	község	1646		1												4
Csokvaomány	község	858														4
Csolnok	község	3377						1								4
Csólyospálos	község	1699														4
Csoma	község	440														6
Csomád	község	1405											1			1
Csombárd	község	286														6
Csongrád	város	17686		1												1
Csonkahegyhát	község	374														4
Csonkamindszent	község	187														6
Csopak	község	1576														1
Csór	község	1797														1
Csorna	város	10708		1												1
Csorvás	város	5302								1			1			1
Csót	község	1049		1												4
Csöde	község	80														6
Csögle	község	647														4
Csökmő	nagyközség	1885		1												1
Csököly	község	1154														4
Csömend	község	302														6
Csömödér	község	604														4
Csömör	nagyközség	8904											1			1
Csönge	község	379														6
Csörnyeföld	község	467		1												4
Csörög	község	2174		1												1
Csörötnek	község	870														4
Csősz	község	1074														1
Csővár	község	671											1			6
Csurgó	város	5290		1												3
Csurgónagymarton	község	192														6
Dabas	város	16671		1									1			1
Dabronc	község	463														4
Dabrony	község	376														6
Dad	község	1019														1
Dág	község	990														4
Dáka	község	673														4
Dalmand	község	1353														4
Damak	község	264														6
Dámóc	község	392		1												6
Dánszentmiklós	község	2869														1
Dány	község	4364		1												1
Daraboshegy	község	90														6
Darány	község	931				1										5
Darnó	község	177		1												6
Darnózseli	község	1588														4
Daruszentmiklós	község	1642														1
Darvas	község	574								1						1
Dávod	község	1984														1
Debercsény	község	77														6
Debrecen	megyeszékhely, megyei jogú város	206225	1	1				1	1	1						1
Debréte	község	19														6
Decs	nagyközség	4164		1												1
Dédestapolcsány	község	1475		1												4
Dég	község	2136														1
Dejtár	község	1472		1												4
Délegyháza	község	3187														1
Demecser	város	4368		1												3
Demjén	község	615		1												6
Dencsháza	község	596		1												4
Dénesfa	község	353														6
Derecske	város	9116		1												1
Derekegyház	község	1670														6
Deszk	község	3584										1				1
Detek	község	279														6
Detk	község	1192														1
Dévaványa	város	8067		1												1
Devecser	város	4806		1												1
Dinnyeberki	község	88														6
Diósberény	község	361						1								6
Diósd	község	8612						1								1
Diósjenő	község	2937		1												1
Dióskál	község	492		1												4
Diósviszló	község	725		1												4
Doba	község	502														6
Doboz	nagyközség	4345		1												1
Dobri	község	169														6
Dobronhegy	község	154														6
Dóc	község	786														6
Domaháza	község	872		1												1
Domaszék	község	4851														1
Dombegyház	nagyközség	2064														1
Dombiratos	község	584														6
Dombóvár	város	20084						1								1
Dombrád	város	4069		1												1
Domony	község	2139														1
Domoszló	község	2108		1												1
Dormánd	község	1061														6
Dorog	város	12262		1				1	1				1			1
Dorogháza	község	1143		1												4
Dozmat	község	232														6
Döbörhegy	község	163														6
Döbröce	község	70														6
Döbrököz	község	2007		1												1
Döbrönte	község	256						1								6
Döge	község	2115		1												1
Dömös	község	1167														1
Dömsöd	nagyközség	5745		1												3
Dör	község	619														1
Dörgicse	község	262														4
Döröske	község	84														6
Dötk	község	26														6
Dövény	község	289		1												6
Drágszél	község	362														6
Drávacsehi	község	208		1												6
Drávacsepely	község	214		1												6
Drávafok	község	519		1		1										4
Drávagárdony	község	148														6
Drávaiványi	község	202														6
Drávakeresztúr	község	139				1										6
Drávapalkonya	község	273														6
Drávapiski	község	126														6
Drávaszabolcs	község	686		1												4
Drávaszerdahely	község	200														6
Drávasztára	község	414				1										6
Drávatamási	község	387														6
Drégelypalánk	község	1580														1
Dubicsány	község	309														6
Dudar	község	1631														4
Duka	község	236														6
Dunaalmás	község	1639														1
Dunabogdány	község	3143						1								1
Dunaegyháza	község	1543											1			1
Dunafalva	község	876		1				1								6
Dunaföldvár	város	9003		1												1
Dunaharaszti	város	19491	1	1				1								1
Dunakeszi	város	37153	1	1			1	1								1
Dunakiliti	község	1816														4
Dunapataj	nagyközség	3347		1												1
Dunaremete	község	246														6
Dunaszeg	község	1967														4
Dunaszekcső	község	1970		1				1								4
Dunaszentbenedek	község	847		1												6
Dunaszentgyörgy	község	2531		1												4
Dunaszentmiklós	község	452						1								6
Dunaszentpál	község	727														6
Dunasziget	község	1449														1
Dunatetétlen	község	549														6
Dunaújváros	megyei jogú város	48562		1	1	1	1				1	1				1
Dunavarsány	város	7112		1				1								1
Dunavecse	város	4026														1
Dusnok	község	3022		1		1		1								1
Dúzs	község	273														6
Ebergőc	község	154														6
Ebes	község	4407														1
Écs	község	1852														4
Ecséd	község	3335														1
Ecseg	község	1243		1												4
Ecsegfalva	község	1232														6
Ecseny	község	214						1								6
Ecser	község	3589											1			1
Edde	község	202														6
Edelény	város	10372		1												1
Edve	község	114														6
Eger	megyeszékhely, megyei jogú város	56429		1	1		1				1					3
Egerág	község	1002														4
Egeralja	község	230														6
Egeraracsa	község	325		1												6
Egerbakta	község	1504		1												1
Egerbocs	község	559														4
Egercsehi	község	1467														4
Egerfarmos	község	730														6
Egerlövő	község	583		1												6
Egerszalók	község	1908		1												4
Egerszólát	község	1090														6
Égerszög	község	52														6
Egervár	község	1048														4
Egervölgy	község	368														6
Egyed	község	564														4
Egyek	nagyközség	5071														1
Egyházasdengeleg	község	480		1									1			6
Egyházasfalu	község	851														6
Egyházasgerge	község	763		1												6
Egyházasharaszti	község	313														4
Egyházashetye	község	346														4
Egyházashollós	község	547														6
Egyházaskesző	község	497														4
Egyházaskozár	község	801						1								4
Egyházasrádóc	község	1327														4
Elek	város	5048		1				1		1			1			1
Ellend	község	239														6
Előszállás	nagyközség	2233														1
Emőd	város	5203		1			1		1							1
Encs	város	6396		1											1	1
Encsencs	község	1986		1												1
Endrefalva	község	1321		1												4
Endrőc	község	384		1												6
Enese	község	1795														4
Enying	város	6982		1												1
Eperjes	község	547														4
Eperjeske	község	1155		1												4
Eplény	község	512														6
Epöl	község	610														1
Ercsi	város	8426				1										1
Érd	megyei jogú város	63669	1	1	1	1	1	1				1				1
Erdőbénye	község	1099														1
Erdőhorváti	község	604		1							1					4
Erdőkertes	község	7437														1
Erdőkövesd	község	636		1												6
Erdőkürt	község	580											1			1
Erdősmárok	község	84														6
Erdősmecske	község	398						1								6
Erdőtarcsa	község	534		1									1			6
Erdőtelek	község	3306		1												1
Erk	község	881		1												1
Érpatak	község	1749		1												1
Érsekcsanád	község	2831		1				1								1
Érsekhalma	község	657														6
Érsekvadkert	község	3650		1												1
Értény	község	773		1												4
Erzsébet	község	316		1				1								4
Esztár	község	1351														1
Eszteregnye	község	734														4
Esztergályhorváti	község	462														6
Esztergom	város	30928	1	1			1	1			1		1			1
Ete	község	591														6
Etes	község	1493		1												1
Etyek	község	4236		1				1								1
Fábiánháza	község	1730		1												1
Fábiánsebestyén	község	2134														1
Fácánkert	község	676														6
Fadd	nagyközség	4501		1												1
Fáj	község	358														6
Fajsz	község	1759		1				1								1
Fancsal	község	317														6
Farád	község	1960														4
Farkasgyepű	község	407						1								6
Farkaslyuk	község	1811		1												1
Farmos	község	3754														1
Fazekasboda	község	187						1								6
Fedémes	község	315														6
Fegyvernek	nagyközség	6629														3
Fehérgyarmat	város	8180														1
Fehértó	község	469						1								6
Fehérvárcsurgó	község	1878														1
Feked	község	181						1								6
Feketeerdő	község	497														6
Felcsút	község	1764														1
Feldebrő	község	1112		1												1
Felgyő	község	1324														1
Felpéc	község	885														4
Felsőberecki	község	296														6
Felsőcsatár	község	468				1										4
Felsődobsza	község	933		1												6
Felsőegerszeg	község	143														6
Felsőgagy	község	161														4
Felsőjánosfa	község	196														6
Felsőkelecsény	község	407														6
Felsőlajos	község	1003														6
Felsőmarác	község	264														6
Felsőmocsolád	község	439														6
Felsőnána	község	612														6
Felsőnyárád	község	1049														4
Felsőnyék	község	1036														6
Felsőörs	község	1528														1
Felsőpáhok	község	649														1
Felsőpakony	község	3415														1
Felsőpetény	község	735											1			6
Felsőrajk	község	760														4
Felsőregmec	község	309		1												6
Felsőszenterzsébet	község	17														6
Felsőszentiván	község	1990														4
Felsőszentmárton	község	948				1										4
Felsőszölnök	község	584												1		6
Felsőtárkány	község	3468														1
Felsőtelekes	község	762														6
Felsőtold	község	152														6
Felsővadász	község	549		1												4
Felsőzsolca	város	7043	1	1			1									3
Fényeslitke	község	2409		1												1
Fenyőfő	község	119														6
Ferencszállás	község	619														4
Fertőboz	község	249														6
Fertőd	város	3474						1								1
Fertőendréd	község	610														6
Fertőhomok	község	583				1										6
Fertőrákos	község	2172		1				1								1
Fertőszentmiklós	város	3802														1
Fertőszéplak	község	1254														1
Fiad	község	162														6
Filkeháza	község	102														6
Fityeház	község	667				1										6
Foktő	község	1646														4
Folyás	község	352														6
Fonó	község	325														6
Fony	község	368		1												4
Fonyód	város	4965														1
Forráskút	község	2335														1
Forró	község	2476		1												4
Fót	város	18365														1
Földeák	község	3199														4
Földes	nagyközség	4092		1												1
Főnyed	község	74														6
Fulókércs	község	387														4
Furta	község	1151		1												1
Füle	község	877														4
Fülesd	község	477		1												6
Fülöp	község	1767														1
Fülöpháza	község	862														1
Fülöpjakab	község	1169														1
Fülöpszállás	község	2357														1
Fülpösdaróc	község	330														6
Fürged	község	722		1												4
Füzér	község	477		1									1			4
Füzérkajata	község	116														6
Füzérkomlós	község	340		1												4
Füzérradvány	község	390		1												6
Füzesabony	város	7963		1												1
Füzesgyarmat	város	5981		1												1
Fűzvölgy	község	145						1								4
Gáborján	község	898		1												6
Gáborjánháza	község	73														6
Gacsály	község	890		1												1
Gadács	község	91														6
Gadány	község	387														6
Gadna	község	260														6
Gádoros	nagyközség	3833		1												1
Gagyapáti	község	24														6
Gagybátor	község	238														6
Gagyvendégi	község	188														4
Galambok	község	1277		1												4
Galgaguta	község	659											1			6
Galgagyörk	község	1075		1									1			1
Galgahévíz	község	2527														1
Galgamácsa	község	1986											1			4
Gálosfa	község	315														6
Galvács	község	91														6
Gamás	község	758		1												4
Ganna	község	258						1								4
Gánt	község	852						1								6
Gara	község	2556				1		1								4
Garáb	község	61														6
Garabonc	község	739		1												4
Garadna	község	458														6
Garbolc	község	144														6
Gárdony	város	9303														1
Garé	község	318		1												6
Gasztony	község	453														1
Gátér	község	989														1
Gávavencsellő	nagyközség	3596		1												1
Géberjén	község	546														4
Gecse	község	425														6
Géderlak	község	1041														4
Gégény	község	1981														1
Gelej	község	632														6
Gelénes	község	534														6
Gellénháza	község	1615														4
Gelse	község	1080														4
Gelsesziget	község	271														6
Gemzse	község	829		1												6
Gencsapáti	község	2822														1
Gérce	község	1142														4
Gerde	község	584		1												6
Gerendás	község	1397											1			1
Gerényes	község	250														6
Geresdlak	község	819						1								4
