kod	fnev
E 477 	emulgeálószer
E 477 	stabilizátor
E 479(b) 	emulgeálószer
E 481 	emulgeálószer
E 482 	emulgeálószer
E 483 	emulgeálószer
E 491 	emulgeálószer
E 492 	emulgeálószer
E 493 	emulgeálószer
E 494 	emulgeálószer
E 500 	sav-szabályzó
E 500 	térfogatnövelő
E 500 	csomósodást gátló
E 501 	sav-szabályzó
E 501 	stabilizátor
E 501 	hordozó
E 503 	sav-szabályzó
E 503 	térfogatnövelő
E 504 	sav-szabályzó
E 504 	csomósodást gátló
E 504 	hordozó
E 507 	sav-szabályzó
E 508 	zselésítő anyag
E 508 	hordozó
E 508 	szilárdító anyag
E 509 	hordozó
E 509 	szilárdító anyag
E 510 	hordozó
E 510 	szilárdító anyag
E 511 	hordozó
E 513 	sav-szabályzó
E 514 	sav-szabályzó
E 515 	sav-szabályzó
E 516 	lisztkezelőszer
E 516 	szilárdító anyag
E 516 	hordozó
E 517 	lisztkezelőszer
E 517 	stabilizátor
E 517 	hordozó
E 520 	szilárdító anyag
E 521 	szilárdító anyag
E 521 	sav-szabályzó
E 522 	sav-szabályzó
E 522 	stabilizátor
E 523 	stabilizátor
E 523 	szilárdító anyag
E 523 	sav-szabályzó
E 524 	sav-szabályzó
E 524 	fényezőanyag
E 525 	sav-szabályzó
E 526 	sav-szabályzó
E 526 	szilárdító anyag
E 527 	sav-szabályzó
E 528 	sav-szabályzó
E 529 	sav-szabályzó
E 529 	lisztkezelőszer
E 530 	csomósodást gátló
E 535 	csomósodást gátló
E 536 	csomósodást gátló
E 538 	csomósodást gátló
E 539 	antioxidáns
E 539 	kelátképző
E 540 	sav-szabályzó
E 540 	térfogatnövelő
E 541 	sav-szabályzó
E 541 	térfogatnövelő
E 543 	sav-szabályzó
E 543 	térfogatnövelő
E 550 	csomósodást gátló
E 551 	csomósodást gátló
E 551 	hordozó
E 552 	csomósodást gátló
E 552 	hordozó
E 553(a) 	csomósodást gátló
E 553(b) 	csomósodást gátló
E 553(b) 	hordozó
E 554 	csomósodást gátló
E 555 	csomósodást gátló
E 556 	csomósodást gátló
E 558 	hordozó
E 559 	csomósodást gátló
E 559 	hordozó
E 570 	csomósodást gátló
E 574 	sav-szabályzó
E 574 	térfogatnövelő
E 575 	sav-szabályzó
E 575 	térfogatnövelő
E 576 	kelátképző
E 577 	kelátképző
E 577 	hordozó
E 578 	sav-szabályzó
E 578 	szilárdító anyag
E 579 	szín-stabilizátor
E 585 	szín-stabilizátor
E 620 	ízfokozó
E 621 	ízfokozó
E 622 	ízfokozó
E 623 	ízfokozó
E 624 	ízfokozó
E 625 	ízfokozó
E 900 	habzásgátló
E 900 	emulgeálószer
E 900 	csomósodást gátló
E 901 	fényezőanyag
E 901 	kenőanyag
E 901 	térfogatnövelő
E 901 	hordozó
E 902 	fényezőanyag
E 902 	kenőanyag
E 903 	fényezőanyag
E 903 	kenőanyag
E 904 	fényezőanyag
E 904 	kenőanyag
E 905 	fényezőanyag
E 905 	kenőanyag
E 911 	fényezőanyag
E 911 	kenőanyag
E 912 	fényezőanyag
E 912 	kenőanyag
E 914 	fényezőanyag
E 914 	kenőanyag
E 925 	fertőtlenítő
E 927 	texturáló anyag
E 938 	csomagológáz
E 939 	csomagológáz
E 941 	csomagológáz
E 950 	édesítőszer
E 951 	édesítőszer
E 952 	édesítőszer
E 954 	édesítőszer
E 957 	ízfokozó
E 957 	édesítőszer
E 959 	édesítőszer
E 967 	édesítőszer
E 967 	nedvesítőszer
E 967 	hordozó
E 999 	habképző anyag
E 1105 	tartósítószer
E 1200 	tömegnövelő
E 1200 	stabilizátor
E 1200 	sűrítő anyag
E 1200 	nedvesítőszer
E 1200 	hordozó
E 1200 	texturáló anyag
E 1201 	stabilizátor
E 1201 	derítő anyag
E 1201 	hordozó
E 1201 	testesítő anyag
E 1202 	hordozó
E 1202 	stabilizátor
E 1400 	kötő és fényező adalék
E 1400 	ízfokozó
E 1404 	emulgeálószer
E 1404 	sűrítő anyag
E 1404 	hordozó
E 1410 	stabilizátor
E 1410 	sűrítő anyag
E 1410 	hordozó
E 1412 	stabilizátor
E 1412 	sűrítő anyag
E 1412 	hordozó
E 1413 	stabilizátor
E 1413 	sűrítő anyag
E 1413 	hordozó
E 1414 	emulgeálószer
E 1414 	sűrítő anyag
E 1414 	hordozó
E 1420 	stabilizátor
E 1420 	sűrítő anyag
E 1420 	hordozó
E 1422 	stabilizátor
E 1422 	sűrítő anyag
E 1422 	hordozó
E 1440 	emulgeálószer
E 1440 	sűrítő anyag
E 1440 	hordozó
E 1442 	stabilizátor
E 1442 	sűrítő anyag
E 1442 	hordozó
E 1450 	stabilizátor
E 1450 	sűrítő anyag
E 1450 	emulgeálószer
E 1450 	hordozó
E 1505 	habstabilizátor
E 1505 	hordozó
E 1518 	nedvesítőszer
E 1518 	hordozó
